bonus,incorrectC1,incorrectC2,uniqueid,workerid
0.0,0.0,0.0,5ba4057af0741400010637b9:TSS_RECONF_111022,5ba4057af0741400010637b9
0.0,0.0,0.0,598ba20f716a2c000187ce01:TSS_RECONF_111022,598ba20f716a2c000187ce01
0.0,,,6403ce2f85c4bb26aff0de6e:TSS_RECONF_111022,6403ce2f85c4bb26aff0de6e
0.0,0.0,0.0,64921fc8c813049f1fd29b47:TSS_RECONF_111022,64921fc8c813049f1fd29b47
0.0,0.0,0.0,62a9513ae9305607fd5af01a:TSS_RECONF_111022,62a9513ae9305607fd5af01a
0.0,,,655a1838cb3988940b59c3ff:TSS_RECONF_111022,655a1838cb3988940b59c3ff
0.0,0.0,0.0,651ec2aa595edca002b3f6d8:TSS_RECONF_111022,651ec2aa595edca002b3f6d8
0.0,0.0,0.0,60de9c66c01a9de405e9efb0:TSS_RECONF_111022,60de9c66c01a9de405e9efb0
0.0,,,650072ae8de93bfe76ee318d:TSS_RECONF_111022,650072ae8de93bfe76ee318d
0.0,,,5f4f9bc1f7598f06b2dc816f:TSS_RECONF_111022,5f4f9bc1f7598f06b2dc816f
0.0,0.0,0.0,5dcec32a367c6d000a4282c2:TSS_RECONF_111022,5dcec32a367c6d000a4282c2
0.0,0.0,0.0,655622d420556b53d5b1a654:TSS_RECONF_111022,655622d420556b53d5b1a654
0.0,0.0,0.0,61536cd5842e5b40639fa99b:TSS_RECONF_111022,61536cd5842e5b40639fa99b
0.0,0.0,0.0,6384e535ba619451063f5223:TSS_RECONF_111022,6384e535ba619451063f5223
0.0,0.0,0.0,5f2f86864fd821374b4367bc:TSS_RECONF_111022,5f2f86864fd821374b4367bc
0.0,0.0,0.0,5cf3f7364bcc6400019d71fa:TSS_RECONF_111022,5cf3f7364bcc6400019d71fa
0.0,0.0,0.0,649b2106b81f8dcf5d163ee5:TSS_RECONF_111022,649b2106b81f8dcf5d163ee5
0.0,0.0,0.0,6051536b3e81428095504b35:TSS_RECONF_111022,6051536b3e81428095504b35
0.0,0.0,0.0,62fcf3d9948e4a6a9623cce8:TSS_RECONF_111022,62fcf3d9948e4a6a9623cce8
0.0,0.0,0.0,5e1fc8d45427912f6143b012:TSS_RECONF_111022,5e1fc8d45427912f6143b012
